epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.36948,0.32152,0.2944,0.87206,0.97619,1,0.99319,0.94755,0.3399,0.2219,0.82349,0.00012861,0.00012861,0.00012861
2,7.27584,0.2824,0.2959,0.85278,0.97612,1,0.99235,0.94122,0.34549,0.25586,0.82668,0.000268822,0.000268822,0.000268822
3,9.97015,0.33983,0.29305,0.86416,0.97793,1,0.99389,0.94189,0.349,0.24944,0.83218,0.000406205,0.000406205,0.000406205
4,12.7278,0.32289,0.31907,0.85366,0.982,0.99643,0.995,0.93295,0.36791,0.26661,0.83333,0.000540758,0.000540758,0.000540758
5,15.4017,0.33082,0.29322,0.87361,0.96056,0.98246,0.99402,0.95008,0.34263,0.29719,0.82658,0.000672482,0.000672482,0.000672482
6,18.0928,0.34547,0.29082,0.87451,0.97391,0.99123,0.99423,0.94139,0.35565,0.26258,0.82936,0.000801376,0.000801376,0.000801376
7,20.7315,0.34788,0.3005,0.86221,0.99808,0.99944,0.995,0.94239,0.36721,0.25144,0.83658,0.000927441,0.000927441,0.000927441
8,23.3761,0.34928,0.30065,0.8597,0.99722,1,0.995,0.93769,0.35916,0.23631,0.83484,0.00105068,0.00105068,0.00105068
9,26.1404,0.3437,0.30342,0.86343,0.99251,1,0.995,0.94156,0.37734,0.27472,0.84235,0.00117108,0.00117108,0.00117108
10,28.6599,0.35212,0.30447,0.87864,0.97981,1,0.995,0.91708,0.42049,0.30678,0.86252,0.00128866,0.00128866,0.00128866
11,31.1074,0.36491,0.3169,0.88664,0.97444,1,0.995,0.93051,0.40376,0.29742,0.85349,0.00128753,0.00128753,0.00128753
12,33.612,0.37188,0.34626,0.87902,0.96478,0.99543,0.99483,0.93432,0.37478,0.29214,0.8376,0.00127338,0.00127338,0.00127338
13,36.1499,0.3554,0.31972,0.87114,0.97876,0.984,0.98932,0.9295,0.37353,0.29543,0.83734,0.00125923,0.00125923,0.00125923
14,38.6914,0.37898,0.33454,0.87331,0.96455,0.96033,0.98821,0.9155,0.38623,0.32414,0.84098,0.00124509,0.00124509,0.00124509
15,41.3537,0.36613,0.35124,0.86573,0.97849,0.99818,0.99415,0.89927,0.40339,0.2935,0.85429,0.00123094,0.00123094,0.00123094
16,43.9337,0.38538,0.34532,0.87413,0.95421,0.9545,0.98921,0.89829,0.40776,0.45397,0.87004,0.00121679,0.00121679,0.00121679
17,46.5067,0.38087,0.34728,0.87715,0.98899,0.97706,0.99405,0.91018,0.39717,0.36471,0.85998,0.00120265,0.00120265,0.00120265
18,49.2282,0.39477,0.34505,0.86718,0.98271,0.99256,0.9944,0.92498,0.37048,0.2831,0.84103,0.0011885,0.0011885,0.0011885
19,51.7924,0.36199,0.31627,0.86624,0.99422,0.98042,0.99457,0.92794,0.36826,0.28043,0.84053,0.00117435,0.00117435,0.00117435
20,54.3873,0.35399,0.31091,0.8584,0.99408,0.99372,0.995,0.92938,0.38621,0.27916,0.84466,0.00116021,0.00116021,0.00116021
21,56.8635,0.40921,0.33627,0.88873,0.98835,0.99276,0.99483,0.93547,0.37707,0.27995,0.84596,0.00114606,0.00114606,0.00114606
22,59.4622,0.33741,0.31207,0.87181,0.98438,0.99549,0.99412,0.9228,0.40026,0.29185,0.85408,0.00113191,0.00113191,0.00113191
23,61.9709,0.38614,0.36928,0.8763,0.98012,0.9987,0.9943,0.92593,0.39701,0.30429,0.85138,0.00111776,0.00111776,0.00111776
