epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,125.432,0.45562,0.5506,0.8987,0.97398,0.99085,0.98973,0.93412,0.3624,0.42228,0.83788,0.000848969,0.000848969,0.000848969
43,127.998,0.4491,0.5136,0.89604,0.97449,0.99123,0.98828,0.92653,0.38376,0.41869,0.84617,0.000834822,0.000834822,0.000834822
44,130.596,0.42757,0.5198,0.88918,0.97129,0.99123,0.98999,0.92925,0.36724,0.42752,0.83976,0.000820675,0.000820675,0.000820675
45,133.204,0.40567,0.48111,0.8763,0.96658,0.99123,0.9913,0.91696,0.41344,0.43492,0.85661,0.000806528,0.000806528,0.000806528
46,135.899,0.45474,0.52639,0.90397,0.95133,0.99441,0.99152,0.93535,0.36286,0.44639,0.84082,0.00079238,0.00079238,0.00079238
47,138.573,0.39251,0.52084,0.87013,0.95563,0.98302,0.99186,0.92512,0.38653,0.43381,0.84968,0.000778233,0.000778233,0.000778233
48,141.182,0.43284,0.50037,0.88502,0.97727,0.9833,0.99303,0.94021,0.35615,0.41634,0.84078,0.000764086,0.000764086,0.000764086
49,143.761,0.41093,0.48859,0.88846,0.97977,0.97834,0.99235,0.93176,0.35235,0.39839,0.84257,0.000749939,0.000749939,0.000749939
50,146.422,0.38927,0.46917,0.87407,0.95252,0.98979,0.98481,0.92135,0.39595,0.42995,0.85594,0.000735792,0.000735792,0.000735792
51,148.991,0.40493,0.47518,0.8809,0.9642,0.9854,0.98705,0.92766,0.38419,0.39773,0.8463,0.000721645,0.000721645,0.000721645
52,151.649,0.38151,0.43823,0.87757,0.98579,0.99897,0.99415,0.93537,0.37384,0.36079,0.83994,0.000707498,0.000707498,0.000707498
53,154.26,0.40032,0.4613,0.87367,0.98563,1,0.99483,0.94244,0.36477,0.34535,0.84089,0.000693351,0.000693351,0.000693351
54,156.844,0.36822,0.55274,0.86825,0.9633,0.94872,0.99257,0.92888,0.38994,0.40446,0.85227,0.000679204,0.000679204,0.000679204
55,159.4,0.40658,0.46042,0.89521,0.94197,0.97642,0.99297,0.93612,0.372,0.41379,0.84846,0.000665057,0.000665057,0.000665057
56,162.051,0.40421,0.47515,0.89791,0.98141,1,0.99457,0.93778,0.37543,0.35988,0.84339,0.000650909,0.000650909,0.000650909
57,164.611,0.43493,0.49076,0.90002,0.98687,0.9964,0.9944,0.92425,0.36054,0.34281,0.83837,0.000636762,0.000636762,0.000636762
58,167.189,0.41307,0.43935,0.87259,0.97718,0.99875,0.99397,0.93486,0.36964,0.33617,0.84087,0.000622615,0.000622615,0.000622615
59,169.79,0.3919,0.4416,0.87632,0.9795,0.99909,0.99439,0.93389,0.36918,0.34509,0.84328,0.000608468,0.000608468,0.000608468
60,172.392,0.43011,0.44632,0.87749,0.97727,1,0.99465,0.94134,0.35224,0.31787,0.83323,0.000594321,0.000594321,0.000594321
61,175.031,0.41909,0.47735,0.8874,0.98419,0.99724,0.99483,0.92771,0.36564,0.33243,0.84246,0.000580174,0.000580174,0.000580174
62,177.63,0.36399,0.42816,0.87889,0.98655,0.98228,0.99451,0.92789,0.36615,0.33857,0.84298,0.000566027,0.000566027,0.000566027
63,180.196,0.37484,0.40065,0.86618,0.98691,0.99123,0.99451,0.92802,0.34373,0.33003,0.83659,0.00055188,0.00055188,0.00055188
64,183.084,0.39329,0.43125,0.86872,0.96373,0.99151,0.9944,0.93177,0.38744,0.34274,0.85163,0.000537733,0.000537733,0.000537733
65,185.686,0.37867,0.47133,0.89242,0.98667,0.99074,0.9944,0.9326,0.37456,0.33458,0.8483,0.000523586,0.000523586,0.000523586
66,188.306,0.37962,0.4136,0.86765,0.99771,0.98368,0.99483,0.93728,0.37386,0.31906,0.84914,0.000509438,0.000509438,0.000509438
67,190.851,0.38286,0.39766,0.87522,0.99181,0.98246,0.994,0.94344,0.36902,0.31945,0.84293,0.000495291,0.000495291,0.000495291
68,193.513,0.36529,0.41297,0.88165,0.98438,0.98246,0.995,0.95012,0.34368,0.30176,0.83813,0.000481144,0.000481144,0.000481144
69,196.097,0.3914,0.43537,0.87169,0.9855,0.99235,0.99482,0.94869,0.34636,0.29525,0.83472,0.000466997,0.000466997,0.000466997
70,198.723,0.35994,0.37907,0.85963,0.95608,1,0.99413,0.93944,0.35341,0.31421,0.83658,0.00045285,0.00045285,0.00045285
71,201.281,0.3944,0.44367,0.87825,0.95825,1,0.99355,0.93028,0.35048,0.33439,0.83595,0.000438703,0.000438703,0.000438703
