epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.40527,0.36328,0.40465,0.88939,0.97063,0.98246,0.99039,0.94705,0.35014,0.28351,0.83073,0.00012861,0.00012861,0.00012861
2,7.19171,0.3353,0.49105,0.87901,0.96607,1,0.99345,0.94495,0.35165,0.31054,0.83409,0.000268822,0.000268822,0.000268822
3,9.75624,0.37077,0.4192,0.87773,0.96237,0.99923,0.9944,0.93288,0.36375,0.31021,0.83935,0.000406205,0.000406205,0.000406205
4,12.3835,0.37516,0.45579,0.87178,0.97927,0.99809,0.995,0.934,0.36479,0.30606,0.83566,0.000540758,0.000540758,0.000540758
5,14.9938,0.38593,0.40755,0.89219,0.99172,0.9995,0.995,0.92352,0.39352,0.30813,0.85021,0.000672482,0.000672482,0.000672482
6,17.6113,0.41789,0.41746,0.89606,0.94773,0.97368,0.99264,0.92044,0.40391,0.38105,0.86517,0.000801376,0.000801376,0.000801376
7,20.1284,0.4096,0.42121,0.87635,0.92374,0.95119,0.99269,0.92791,0.39289,0.47587,0.8532,0.000927441,0.000927441,0.000927441
8,22.6704,0.41063,0.40172,0.88093,0.92757,0.96365,0.98962,0.91501,0.39398,0.50941,0.85279,0.00105068,0.00105068,0.00105068
9,25.3949,0.39344,0.42761,0.88669,0.9701,0.95232,0.99326,0.91601,0.38646,0.38762,0.85883,0.00117108,0.00117108,0.00117108
10,27.9794,0.42265,0.46454,0.92322,0.95566,0.99097,0.995,0.90629,0.40448,0.3985,0.85509,0.00128866,0.00128866,0.00128866
11,30.6027,0.40461,0.42094,0.91093,0.97607,0.99673,0.99444,0.91609,0.39976,0.33671,0.85961,0.00128753,0.00128753,0.00128753
12,33.2193,0.43139,0.47056,0.90733,0.96305,0.9921,0.99018,0.90847,0.4223,0.39243,0.86313,0.00127338,0.00127338,0.00127338
13,35.779,0.41754,0.42725,0.89294,0.9184,0.95532,0.97718,0.88166,0.45645,0.48473,0.87787,0.00125923,0.00125923,0.00125923
14,38.3887,0.4283,0.43365,0.88877,0.92869,0.91874,0.98117,0.89747,0.42659,0.47187,0.8727,0.00124509,0.00124509,0.00124509
15,40.9486,0.40023,0.42231,0.88314,0.94593,0.93198,0.98776,0.89132,0.46517,0.50717,0.92416,0.00123094,0.00123094,0.00123094
16,43.4906,0.43017,0.44142,0.89827,0.95938,0.97188,0.99116,0.92285,0.37686,0.38674,0.84579,0.00121679,0.00121679,0.00121679
17,45.9931,0.41426,0.40775,0.89157,0.98136,0.99123,0.99372,0.92196,0.38405,0.32646,0.84578,0.00120265,0.00120265,0.00120265
18,48.528,0.42982,0.41495,0.88112,0.90258,0.95444,0.98965,0.91325,0.39853,0.48112,0.85155,0.0011885,0.0011885,0.0011885
19,51.0936,0.40039,0.43168,0.88472,0.96887,0.95536,0.99278,0.91283,0.41641,0.41824,0.86567,0.00117435,0.00117435,0.00117435
20,53.6593,0.41153,0.40513,0.87732,0.97601,1,0.995,0.91813,0.41207,0.35245,0.85135,0.00116021,0.00116021,0.00116021
21,56.2877,0.46068,0.43381,0.90732,0.98385,0.98551,0.99287,0.9302,0.39951,0.33922,0.85447,0.00114606,0.00114606,0.00114606
22,58.8374,0.39253,0.43522,0.89572,0.9801,0.98052,0.99355,0.92529,0.4024,0.32298,0.8523,0.00113191,0.00113191,0.00113191
23,61.3719,0.42694,0.44436,0.89269,0.82906,0.89251,0.92008,0.86596,0.36964,0.54707,0.83894,0.00111776,0.00111776,0.00111776
24,63.9094,0.48668,0.64838,0.94328,0.95576,0.98866,0.98802,0.91445,0.38977,0.37682,0.85583,0.00110362,0.00110362,0.00110362
25,66.4335,0.41425,0.40847,0.90324,0.9789,0.97345,0.98991,0.93904,0.35638,0.32766,0.84031,0.00108947,0.00108947,0.00108947
26,68.928,0.3876,0.41101,0.89389,0.93108,0.95015,0.98091,0.91716,0.35907,0.43963,0.83813,0.00107532,0.00107532,0.00107532
27,71.4673,0.39076,0.38427,0.88322,0.97734,0.97997,0.98925,0.92201,0.3684,0.34685,0.83429,0.00106118,0.00106118,0.00106118
28,74.064,0.38147,0.37816,0.87352,0.98315,0.99756,0.99193,0.92227,0.39513,0.31036,0.84964,0.00104703,0.00104703,0.00104703
29,76.5987,0.41115,0.41197,0.88982,0.98514,0.99878,0.99149,0.91653,0.39365,0.30351,0.854,0.00103288,0.00103288,0.00103288
30,79.199,0.40486,0.50081,0.89168,0.99088,0.96491,0.99315,0.92125,0.38876,0.37661,0.85017,0.00101873,0.00101873,0.00101873
31,81.752,0.38725,0.38168,0.89033,0.92857,0.96177,0.97167,0.90081,0.41638,0.48069,0.86302,0.00100459,0.00100459,0.00100459
32,84.3151,0.43105,0.40525,0.88592,0.93708,0.96491,0.99254,0.92567,0.40497,0.42612,0.86421,0.00099044,0.00099044,0.00099044
33,86.9236,0.3872,0.36134,0.86146,0.98208,1,0.995,0.93083,0.39175,0.29443,0.84785,0.000976293,0.000976293,0.000976293
34,89.5217,0.37656,0.36263,0.87638,0.98264,0.98652,0.99483,0.92435,0.40003,0.31213,0.85706,0.000962146,0.000962146,0.000962146
35,92.0635,0.39756,0.40789,0.90016,0.97648,0.96618,0.99451,0.92573,0.39696,0.34434,0.85352,0.000947999,0.000947999,0.000947999
36,94.6356,0.44756,0.406,0.8862,0.95054,0.97122,0.99326,0.91612,0.40726,0.40719,0.85327,0.000933851,0.000933851,0.000933851
