epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,112.268,0.3369,0.2778,0.8589,0.98234,1,0.995,0.95179,0.35788,0.22933,0.83036,0.000834822,0.000834822,0.000834822
44,114.807,0.30996,0.26971,0.85531,0.97732,1,0.995,0.95292,0.33342,0.23202,0.82462,0.000820675,0.000820675,0.000820675
45,117.358,0.31194,0.25799,0.84848,0.98819,1,0.995,0.95257,0.35491,0.23237,0.8291,0.000806528,0.000806528,0.000806528
46,119.935,0.36574,0.28714,0.87692,0.96822,1,0.99402,0.95242,0.35137,0.24153,0.8305,0.00079238,0.00079238,0.00079238
47,122.501,0.30511,0.25897,0.84495,0.96787,1,0.9944,0.9567,0.33549,0.23644,0.82568,0.000778233,0.000778233,0.000778233
48,125.048,0.34687,0.27962,0.86345,0.97454,0.9865,0.99389,0.94555,0.38001,0.24766,0.84043,0.000764086,0.000764086,0.000764086
49,127.717,0.32432,0.26669,0.85981,0.97169,1,0.995,0.95099,0.34243,0.23905,0.82718,0.000749939,0.000749939,0.000749939
50,130.308,0.3182,0.25843,0.85869,0.96781,1,0.99346,0.94931,0.35295,0.23381,0.83141,0.000735792,0.000735792,0.000735792
51,132.826,0.3173,0.26017,0.84931,0.9881,1,0.995,0.95212,0.36158,0.23901,0.83201,0.000721645,0.000721645,0.000721645
52,135.376,0.30669,0.25155,0.85992,0.98502,1,0.995,0.95628,0.35897,0.26936,0.83029,0.000707498,0.000707498,0.000707498
53,137.949,0.3329,0.26491,0.84801,0.98489,1,0.99235,0.94434,0.37015,0.27813,0.83696,0.000693351,0.000693351,0.000693351
54,140.586,0.27951,0.2733,0.84255,0.98766,1,0.99415,0.95672,0.3694,0.24787,0.84292,0.000679204,0.000679204,0.000679204
55,143.161,0.31788,0.25662,0.87831,0.99407,1,0.995,0.95103,0.3545,0.22475,0.84454,0.000665057,0.000665057,0.000665057
56,145.715,0.31491,0.26957,0.87012,0.99061,0.99635,0.995,0.94767,0.37861,0.22645,0.83898,0.000650909,0.000650909,0.000650909
57,148.246,0.3154,0.26443,0.86214,0.98765,1,0.995,0.95548,0.35409,0.2181,0.83025,0.000636762,0.000636762,0.000636762
58,150.831,0.32371,0.26024,0.85015,0.9871,1,0.995,0.95275,0.34324,0.22612,0.82758,0.000622615,0.000622615,0.000622615
59,153.375,0.30095,0.23588,0.84946,0.9886,1,0.995,0.95179,0.3596,0.2258,0.82998,0.000608468,0.000608468,0.000608468
60,155.945,0.32887,0.25699,0.84283,0.98807,1,0.995,0.94952,0.3421,0.21693,0.82762,0.000594321,0.000594321,0.000594321
61,158.436,0.30361,0.26766,0.85659,0.98565,1,0.995,0.95498,0.34038,0.21981,0.83003,0.000580174,0.000580174,0.000580174
62,161.081,0.27867,0.2324,0.84926,0.98198,1,0.99483,0.94062,0.35941,0.22194,0.834,0.000566027,0.000566027,0.000566027
63,163.573,0.29734,0.2354,0.84221,0.97979,1,0.99483,0.94689,0.34833,0.2285,0.82944,0.00055188,0.00055188,0.00055188
64,166.13,0.30333,0.24613,0.84212,0.98514,1,0.99483,0.95757,0.3361,0.20768,0.82325,0.000537733,0.000537733,0.000537733
65,168.592,0.29243,0.25063,0.86159,0.98541,1,0.99483,0.95506,0.35131,0.21102,0.82903,0.000523586,0.000523586,0.000523586
66,171.144,0.29673,0.24111,0.84229,0.98659,1,0.995,0.95539,0.35059,0.20806,0.8273,0.000509438,0.000509438,0.000509438
67,173.708,0.2994,0.23639,0.85498,0.99129,1,0.995,0.9522,0.32981,0.19662,0.82229,0.000495291,0.000495291,0.000495291
68,176.388,0.28846,0.23897,0.8596,0.99491,1,0.995,0.95146,0.34062,0.20239,0.82587,0.000481144,0.000481144,0.000481144
69,178.891,0.30103,0.24757,0.84851,0.99416,0.98551,0.99444,0.94962,0.3543,0.21198,0.8342,0.000466997,0.000466997,0.000466997
70,181.447,0.29245,0.23288,0.84708,0.98105,0.98551,0.99444,0.94837,0.33274,0.21249,0.8239,0.00045285,0.00045285,0.00045285
71,183.988,0.30708,0.25639,0.85159,0.99057,0.99848,0.995,0.9551,0.32627,0.21374,0.82015,0.000438703,0.000438703,0.000438703
72,186.532,0.29329,0.24464,0.84305,0.9835,1,0.995,0.95794,0.33683,0.22201,0.82195,0.000424556,0.000424556,0.000424556
73,189.107,0.30884,0.24782,0.84054,0.979,1,0.995,0.95495,0.33553,0.22137,0.82056,0.000410409,0.000410409,0.000410409
74,191.69,0.27163,0.24388,0.84732,0.97716,1,0.995,0.94932,0.34071,0.21797,0.82433,0.000396262,0.000396262,0.000396262
75,194.321,0.29621,0.23785,0.84405,0.97624,1,0.995,0.95486,0.33543,0.21854,0.82394,0.000382115,0.000382115,0.000382115
76,196.896,0.28907,0.23585,0.85484,0.97574,1,0.995,0.95638,0.34144,0.21897,0.82579,0.000367967,0.000367967,0.000367967
77,199.405,0.27403,0.22449,0.83734,0.97593,1,0.995,0.95558,0.34252,0.21806,0.82615,0.00035382,0.00035382,0.00035382
78,201.963,0.30054,0.23137,0.86713,0.97646,1,0.995,0.96151,0.32214,0.20799,0.8204,0.000339673,0.000339673,0.000339673
79,204.49,0.2714,0.22935,0.85404,0.98383,1,0.995,0.95806,0.3269,0.20472,0.82203,0.000325526,0.000325526,0.000325526
80,207.078,0.2825,0.23594,0.85477,0.98844,1,0.995,0.95181,0.34594,0.20791,0.82778,0.000311379,0.000311379,0.000311379
81,209.701,0.28919,0.23644,0.83919,0.98864,1,0.995,0.96001,0.33697,0.20349,0.82514,0.000297232,0.000297232,0.000297232
82,212.316,0.27059,0.22745,0.8518,0.9891,1,0.995,0.95584,0.32952,0.20029,0.82317,0.000283085,0.000283085,0.000283085
83,214.862,0.27523,0.23091,0.85274,0.98905,1,0.995,0.9491,0.33744,0.19653,0.82341,0.000268938,0.000268938,0.000268938
84,217.453,0.27581,0.2422,0.85977,0.99027,1,0.995,0.95301,0.33957,0.19669,0.82326,0.000254791,0.000254791,0.000254791
85,219.977,0.27581,0.22003,0.83925,0.99143,1,0.995,0.95618,0.32746,0.19653,0.8198,0.000240644,0.000240644,0.000240644
86,222.567,0.27049,0.22058,0.85203,0.9942,1,0.995,0.9569,0.31967,0.18894,0.81912,0.000226497,0.000226497,0.000226497
87,225.129,0.27893,0.22475,0.8508,0.99477,1,0.995,0.95821,0.32565,0.18826,0.82044,0.000212349,0.000212349,0.000212349
88,227.887,0.3001,0.22703,0.88591,0.99451,1,0.995,0.95677,0.32471,0.18544,0.81876,0.000198202,0.000198202,0.000198202
89,230.634,0.27627,0.21308,0.84984,0.994,1,0.995,0.96224,0.32411,0.18626,0.81731,0.000184055,0.000184055,0.000184055
90,233.248,0.26368,0.21252,0.85328,0.99348,1,0.995,0.95792,0.32211,0.1881,0.81606,0.000169908,0.000169908,0.000169908
91,249.908,0.2109,0.16891,0.81143,0.99414,1,0.995,0.95191,0.3283,0.1848,0.81805,0.000155761,0.000155761,0.000155761
92,252.643,0.19716,0.16992,0.79006,0.99429,1,0.995,0.94948,0.3362,0.18361,0.8204,0.000141614,0.000141614,0.000141614
93,255.338,0.2042,0.16886,0.79674,0.99113,1,0.995,0.95569,0.33057,0.18492,0.81961,0.000127467,0.000127467,0.000127467
94,257.989,0.20433,0.17843,0.79701,0.98865,1,0.995,0.95579,0.32659,0.18448,0.81985,0.00011332,0.00011332,0.00011332
95,260.663,0.20263,0.20643,0.79772,0.99235,1,0.995,0.95447,0.32443,0.18368,0.81927,9.91726e-05,9.91726e-05,9.91726e-05
96,263.335,0.20594,0.17288,0.80021,0.99421,1,0.995,0.95314,0.32302,0.18054,0.81863,8.50255e-05,8.50255e-05,8.50255e-05
97,266.03,0.20963,0.17116,0.79281,0.99457,1,0.995,0.95308,0.32505,0.18139,0.81909,7.08784e-05,7.08784e-05,7.08784e-05
98,268.754,0.18381,0.15714,0.77659,0.99477,1,0.995,0.9541,0.32475,0.1773,0.81991,5.67313e-05,5.67313e-05,5.67313e-05
99,271.431,0.19696,0.1656,0.79627,0.99427,1,0.995,0.9556,0.32524,0.17852,0.81985,4.25842e-05,4.25842e-05,4.25842e-05
100,274.195,0.19725,0.16827,0.78254,0.99478,1,0.995,0.95813,0.32474,0.17763,0.82045,2.84371e-05,2.84371e-05,2.84371e-05
